Période du ,01/08/2014,au,,31/10/2014,,,,,,,,,,
,Déposés,,,Restitués Perdants,,,Taux,,Restitués Inventeurs,,,Taux,,Taux global
,I,NI,TOTAL,I,NI,TOTAL,I,NI,I,NI,TOTAL,I,NI,
ACCESSOIRES AUDIO,0,105,,0,1,,,0.95%,0,0,,,0.00%,0.95%
ACCESSOIRES DE MUSIQUE,0,11,,0,1,,,9.09%,0,0,,,0.00%,9.09%
ACCESSOIRES INFORMATIQUES,1,155,,0,1,,0.00%,0.65%,0,0,,0.00%,0.00%,0.64%
ACCESSOIRES OPTIQUES,1,33,,0,0,,0.00%,0.00%,0,0,,0.00%,0.00%,0.00%
ACCESSOIRES PHOTOS,1,45,,0,2,,0.00%,4.44%,0,0,,0.00%,0.00%,4.35%
ACCESSOIRES TELEPHONIES,1,72,,0,0,,0.00%,0.00%,0,0,,0.00%,0.00%,0.00%
ACCESSOIRES VESTIMENTAIRES,0,703,,0,9,,,1.28%,0,0,,,0.00%,1.28%
ACCESSOIRES VIDEO,0,26,,0,0,,,0.00%,0,0,,,0.00%,0.00%
AUDIO,0,99,,0,3,,,3.03%,0,0,,,0.00%,3.03%
BIJOU DE COU,0,116,,0,2,,,1.72%,0,0,,,0.00%,1.72%
BIJOU DE MAIN,1,531,,0,8,,0.00%,1.51%,0,0,,0.00%,0.00%,1.50%
BIJOU DIVERS,0,121,,0,0,,,0.00%,0,0,,,0.00%,0.00%
CARTABLE,387,265,,182,32,,47.03%,12.08%,0,0,,0.00%,0.00%,32.82%
CARTES DE TRANSPORT,99,457,,42,6,,42.42%,1.31%,0,0,,0.00%,0.00%,8.63%
COSMÉTIQUE,5,82,,4,6,,80.00%,7.32%,0,0,,0.00%,0.00%,11.49%
COUVRE-CHEF,0,337,,0,4,,,1.19%,0,0,,,0.00%,1.19%
DEVISES,0,132,,0,1,,,0.76%,0,0,,,0.00%,0.76%
DIVERS,40,3436,,20,161,,50.00%,4.69%,0,0,,0.00%,0.00%,5.21%
DIVERSES PIECES IDENTIFIEES,457,1090,,191,28,,41.79%,2.57%,0,0,,0.00%,0.00%,14.16%
DOCUMENTS DIVERS,669,1010,,298,46,,44.54%,4.55%,0,0,,0.00%,0.00%,20.49%
DOCUMENTS ET ACCES. SCOLAIRES,43,90,,4,3,,9.30%,3.33%,0,0,,0.00%,0.00%,5.26%
INFORMATIQUE,6,366,,5,55,,83.33%,15.03%,0,0,,0.00%,0.00%,16.13%
INSTRUMENT DE MUSIQUE,0,12,,0,2,,,16.67%,0,0,,,0.00%,16.67%
JOUET,0,121,,0,1,,,0.83%,0,0,,,0.00%,0.83%
LINGE DE MAISON,0,23,,0,0,,,0.00%,0,0,,,0.00%,0.00%
LIVRE,9,262,,4,2,,44.44%,0.76%,0,0,,0.00%,0.00%,2.21%
MANTEAU,11,410,,6,15,,54.55%,3.66%,0,0,,0.00%,0.00%,4.99%
MÉDICAL,48,217,,15,24,,31.25%,11.06%,0,0,,0.00%,0.00%,14.72%
MONTRE,0,357,,0,9,,,2.52%,0,0,,,0.00%,2.52%
OPTIQUE,1,2050,,1,39,,100.00%,1.90%,0,0,,0.00%,0.00%,1.95%
PARAPLUIE,1,866,,0,5,,0.00%,0.58%,0,0,,0.00%,0.00%,0.58%
PHOTO,3,190,,2,9,,66.67%,4.74%,0,0,,0.00%,0.00%,5.70%
PIÈCES BANCAIRES,208,650,,42,16,,20.19%,2.46%,0,0,,0.00%,0.00%,6.76%
PIÈCES IDENTIFIEES,9018,2761,,3404,161,,37.75%,5.83%,0,0,,0.00%,0.00%,30.27%
PORTE MONNAIE,195,702,,113,27,,57.95%,3.85%,0,0,,0.00%,0.00%,15.61%
PORTEFEUILLE,4555,4371,,3029,323,,66.50%,7.39%,0,0,,0.00%,0.00%,37.55%
PUÉRICULTURE,1,53,,0,2,,0.00%,3.77%,0,0,,0.00%,0.00%,3.70%
SAC A COURSE,168,1653,,89,87,,52.98%,5.26%,0,0,,0.00%,0.00%,9.67%
SAC DE VOYAGE,65,309,,41,64,,63.08%,20.71%,0,0,,0.00%,0.00%,28.07%
SAC LOISIRS,343,1563,,221,202,,64.43%,12.92%,0,1,,0.00%,0.06%,22.25%
SACOCHE,559,714,,400,95,,71.56%,13.31%,1,0,,0.18%,0.00%,38.96%
SPORT,1,201,,0,10,,0.00%,4.98%,0,0,,0.00%,0.00%,4.95%
TÉLÉPHONIE,2,2555,,0,226,,0.00%,8.85%,0,0,,0.00%,0.00%,8.84%
VETEMENTS,6,427,,4,13,,66.67%,3.04%,0,0,,0.00%,0.00%,3.93%
VETEMENTS DE SPORT,1,157,,0,1,,0.00%,0.64%,0,0,,0.00%,0.00%,0.63%
VETEMENTS HAUTS,0,558,,0,4,,,0.72%,0,0,,,0.00%,0.72%
VIDÉO,0,57,,0,5,,,8.77%,0,0,,,0.00%,8.77%
Total,16906,30521,0,8117,1711,0,48.01%,5.61%,1,1,0,0.01%,0.00%,20.73%
,,,,,,,,,,,,,,
,Déposés,,,Restitués Perdants,,,Taux,,Restitués Inventeurs,,,Taux,,Taux global
,I,NI,TOTAL,I,NI,TOTAL,I,NI,I,NI,TOTAL,I,NI,
AGENDA / REPERTOIRE,17,44,,13,4,,76.47%,9.09%,0,0,,0.00%,0.00%,27.87%
AGENDA ÉLECTRONIQUE,0,1,,0,0,,,0.00%,0,0,,,0.00%,0.00%
ALBUM / PRESS - BOOK,0,4,,0,0,,,0.00%,0,0,,,0.00%,0.00%
ALLIANCE,0,25,,0,1,,,4.00%,0,0,,,0.00%,4.00%
APPAREIL PHOTO,3,183,,2,9,,66.67%,4.92%,0,0,,0.00%,0.00%,5.91%
ARMES,0,2,,0,0,,,0.00%,0,0,,,0.00%,0.00%
ATTACHE CASE / MALETTE,6,16,,5,3,,83.33%,18.75%,0,0,,0.00%,0.00%,36.36%
AUMONIERE,0,1,,0,0,,,0.00%,0,0,,,0.00%,0.00%
AUTRE BIJOU,0,19,,0,0,,,0.00%,0,0,,,0.00%,0.00%
AUTRES  CARTABLE,7,7,,5,1,,71.43%,14.29%,0,0,,0.00%,0.00%,42.86%
AUTRES  INFORMATIQUE,1,11,,1,0,,100.00%,0.00%,0,0,,0.00%,0.00%,8.33%
AUTRES  JOUET,0,37,,0,0,,,0.00%,0,0,,,0.00%,0.00%
AUTRES  LIVRES,4,68,,3,0,,75.00%,0.00%,0,0,,0.00%,0.00%,4.17%
AUTRES  MONTRE,0,1,,0,0,,,0.00%,0,0,,,0.00%,0.00%
AUTRES  OPTIQUE,0,2,,0,0,,,0.00%,0,0,,,0.00%,0.00%
AUTRES  PUÉRICULTURE,1,9,,0,0,,0.00%,0.00%,0,0,,0.00%,0.00%,0.00%
AUTRES  SPORT,1,111,,0,3,,0.00%,2.70%,0,0,,0.00%,0.00%,2.68%
AUTRES  VÊTEMENT,0,34,,0,1,,,2.94%,0,0,,,0.00%,2.94%
AUTRES ACCESSOIRES  DE MUSIQUE,0,9,,0,1,,,11.11%,0,0,,,0.00%,11.11%
